ux uy uz
0.00000000e+00 1.78354272e+01 1.12905381e+01
0.00000000e+00 3.10764585e+01 1.06686201e+01
0.00000000e+00 4.40679965e+01 1.00790680e+01
0.00000000e+00 5.66408066e+01 9.53792693e+00
0.00000000e+00 6.86317330e+01 9.05874266e+00
0.00000000e+00 7.98856569e+01 8.65189608e+00
0.00000000e+00 9.02573396e+01 8.32410155e+00
0.00000000e+00 9.96131367e+01 8.07809074e+00
0.00000000e+00 1.07832568e+02 7.91249514e+00
0.00000000e+00 1.14809726e+02 7.82192986e+00
0.00000000e+00 1.20454504e+02 7.79727264e+00
0.00000000e+00 1.24693639e+02 7.82612274e+00
0.00000000e+00 1.27471537e+02 7.89341648e+00
0.00000000e+00 1.28750889e+02 7.98216890e+00
0.00000000e+00 1.28513050e+02 8.07430538e+00
0.00000000e+00 1.26758193e+02 8.15154285e+00
0.00000000e+00 1.23505221e+02 8.19627832e+00
